source,target
Alice,Duchess
Alice,Duchess
Duchess,Alice
Duchess,Alice
Duchess,Alice
Duchess,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Lory
Lory,Alice
Alice,Mouse
Mouse,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Mouse,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Mouse
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Alice
Mouse,Lory
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Alice
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Alice
Alice,Eaglet
Eaglet,Alice
Lory,Mouse
Mouse,Lory
Lory,Mouse
Mouse,Alice
Alice,Eaglet
Eaglet,Alice
Alice,Eaglet
Eaglet,Alice
Alice,Eaglet
Eaglet,Alice
Eaglet,Alice
Alice,Mouse
Eaglet,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Alice
Mouse,Alice
Alice,Mouse
Mouse,Alice
Mouse,Alice
Alice,Mouse
Mouse,Alice
Alice,Mouse
Mouse,Lory
Mouse,Alice
Alice,Mouse
Mouse,Lory
Alice,Mouse
Mouse,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Mouse
Mouse,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Mouse
Mouse,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Mouse,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Lory
Lory,Alice
Alice,Mouse
Alice,Mouse
Mouse,Duchess
Alice,Mouse
Mouse,Duchess
Alice,Mouse
Mouse,Duchess
Alice,Mouse
Mouse,Duchess
Alice,Mouse
Mouse,Duchess
Alice,Bill
Alice,Bill
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Bill,Alice
Bill,Alice
Bill,Alice
Alice,Bill
Bill,Alice
Bill,Alice
Alice,Bill
Bill,Alice
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Bill
Bill,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
Caterpillar,Alice
Alice,Caterpillar
